ID,Topic Code,Topic Code,Entity ID,Record ID,Record Name,Status
0000167,31,Tenant Representation,000002,000167,Member00167,Active
0000168,33,Brokerage Management,000002,000168,Member00168,Active
0000169,35,Landlord,000001,000169,Member00169,Active
0000170,32,Distribution & Logistics,000002,000170,Member00170,Active
0000171,34,Sale/Leasing,000002,000171,Member00171,Active
0000172,36,Corporate Services,000002,000172,Member00172,Active
0000173,36,Corporate Services,000002,000173,Member00173,Active
0000174,32,Distribution & Logistics,000002,000174,Member00174,Active
0000175,33,Brokerage Management,000001,000175,Member00175,Active
0000176,35,Landlord,000001,000176,Member00176,Active
0000177,35,Landlord,000001,000177,Member00177,Active
0000178,34,Sale/Leasing,000001,000178,Member00178,Active
0000179,36,Corporate Services,000001,000179,Member00179,Active
0000180,34,Sale/Leasing,000001,000180,Member00180,Active
0000181,34,Sale/Leasing,000002,000181,Member00181,Active
0000182,36,Corporate Services,000001,000182,Member00182,Active
0000183,31,Tenant Representation,000002,000183,Member00183,Active
0000184,34,Sale/Leasing,000001,000184,Member00184,Active
0000185,36,Corporate Services,000001,000185,Member00185,Active
0000186,33,Brokerage Management,000002,000186,Member00186,Active
0000187,36,Corporate Services,000002,000187,Member00187,Active
0000188,31,Tenant Representation,000002,000188,Member00188,Active
0000189,37,Consulting,000001,000189,Member00189,Active
0000190,32,Distribution & Logistics,000001,000190,Member00190,Active
0000191,35,Landlord,000002,000191,Member00191,Active
0000192,34,Sale/Leasing,000001,000192,Member00192,Active
0000193,31,Tenant Representation,000001,000193,Member00193,Active
0000194,32,Distribution & Logistics,000001,000194,Member00194,Active
0000195,30,Investments,000002,000195,Member00195,Active
0000196,35,Landlord,000001,000196,Member00196,Active
0000197,33,Brokerage Management,000001,000197,Member00197,Active
0000198,31,Tenant Representation,000001,000198,Member00198,Active
0000199,35,Landlord,000001,000199,Member00199,Active
0000200,33,Brokerage Management,000001,000200,Member00200,Active
0000201,37,Consulting,000002,000201,Member00201,Active
0000202,37,Consulting,000002,000202,Member00202,Active
0000203,37,Consulting,000002,000203,Member00203,Active
0000204,31,Tenant Representation,000002,000204,Member00204,Active
0000205,31,Tenant Representation,000001,000205,Member00205,Active
0000206,34,Sale/Leasing,000001,000206,Member00206,Active
0000207,35,Landlord,000001,000207,Member00207,Active
0000208,33,Brokerage Management,000001,000208,Member00208,Active
0000209,35,Landlord,000001,000209,Member00209,Active
0000210,33,Brokerage Management,000002,000210,Member00210,Active
0000211,36,Corporate Services,000001,000211,Member00211,Active
0000212,37,Consulting,000001,000212,Member00212,Active
0000213,30,Investments,000001,000213,Member00213,Active
0000214,37,Consulting,000001,000214,Member00214,Active
0000215,31,Tenant Representation,000001,000215,Member00215,Active
0000216,34,Sale/Leasing,000002,000216,Member00216,Active
0000217,35,Landlord,000002,000217,Member00217,Active
0000218,34,Sale/Leasing,000002,000218,Member00218,Active
0000219,34,Sale/Leasing,000002,000219,Member00219,Active
0000220,36,Corporate Services,000002,000220,Member00220,Active
0000221,34,Sale/Leasing,000002,000221,Member00221,Active
0000222,31,Tenant Representation,000002,000222,Member00222,Active
0000223,34,Sale/Leasing,000002,000223,Member00223,Active
0000224,32,Distribution & Logistics,000002,000224,Member00224,Active
0000225,32,Distribution & Logistics,000001,000225,Member00225,Active
0000226,34,Sale/Leasing,000001,000226,Member00226,Active
0000227,36,Corporate Services,000002,000227,Member00227,Active
0000228,35,Landlord,000001,000228,Member00228,Active
0000229,36,Corporate Services,000001,000229,Member00229,Active
0000230,35,Landlord,000002,000230,Member00230,Active
0000231,32,Distribution & Logistics,000002,000231,Member00231,Active
0000232,37,Consulting,000002,000232,Member00232,Active
0000233,33,Brokerage Management,000001,000233,Member00233,Active
0000234,33,Brokerage Management,000002,000234,Member00234,Active
0000235,34,Sale/Leasing,000002,000235,Member00235,Active
0000236,32,Distribution & Logistics,000002,000236,Member00236,Active
0000237,30,Investments,000002,000237,Member00237,Active
0000238,35,Landlord,000001,000238,Member00238,Active
0000239,32,Distribution & Logistics,000002,000239,Member00239,Active
0000240,31,Tenant Representation,000002,000240,Member00240,Active
0000241,36,Corporate Services,000001,000241,Member00241,Active
0000242,36,Corporate Services,000002,000242,Member00242,Active
0000243,36,Corporate Services,000002,000243,Member00243,Active
0000244,37,Consulting,000001,000244,Member00244,Active
0000245,34,Sale/Leasing,000001,000172,Member00245,Active
0000246,37,Consulting,000001,000245,Member00246,Active
0000247,32,Distribution & Logistics,000002,000246,Member00247,Active
0000248,33,Brokerage Management,000001,000247,Member00248,Active
0000249,36,Corporate Services,000002,000248,Member00249,Active
0000250,35,Landlord,000002,000249,Member00250,Active
0000251,36,Corporate Services,000001,000250,Member00251,Active
0000252,37,Consulting,000001,000251,Member00252,Active
0000253,36,Corporate Services,000001,000252,Member00253,Active
0000254,33,Brokerage Management,000001,000253,Member00254,Active
0000255,36,Corporate Services,000002,000254,Member00255,Active
0000256,31,Tenant Representation,000002,000255,Member00256,Active
0000257,37,Consulting,000002,000256,Member00257,Active
0000258,34,Sale/Leasing,000001,000257,Member00258,Active
0000259,34,Sale/Leasing,000001,000258,Member00259,Active
0000260,33,Brokerage Management,000002,000259,Member00260,Active
0000261,34,Sale/Leasing,000002,000260,Member00261,Active
0000262,32,Distribution & Logistics,000002,000261,Member00262,Active
0000263,34,Sale/Leasing,000002,000262,Member00263,Active
0000264,30,Investments,000001,000263,Member00264,Active
0000265,33,Brokerage Management,000002,000264,Member00265,Active
0000266,32,Distribution & Logistics,000002,000265,Member00266,Active
0000267,32,Distribution & Logistics,000002,000266,Member00267,Active
0000268,36,Corporate Services,000002,000267,Member00268,Active
0000269,32,Distribution & Logistics,000002,000268,Member00269,Active
0000270,30,Investments,000002,000269,Member00270,Active
0000271,35,Landlord,000002,000270,Member00271,Active
0000272,36,Corporate Services,000002,000271,Member00272,Active
0000273,35,Landlord,000002,000272,Member00273,Active
0000274,31,Tenant Representation,000002,000273,Member00274,Active
0000275,30,Investments,000002,000274,Member00275,Active
0000276,32,Distribution & Logistics,000002,000132,Member00132,Active
0000277,37,Consulting,000001,000275,Member00276,Active
0000278,32,Distribution & Logistics,000002,000276,Member00277,Active
0000279,30,Investments,000001,000277,Member00278,Active
0000280,37,Consulting,000002,000278,Member00279,Active
0000281,37,Consulting,000002,000279,Member00280,Active
0000282,31,Tenant Representation,000001,000280,Member00281,Active
0000283,31,Tenant Representation,000002,000281,Member00282,Active
0000284,35,Landlord,000002,000282,Member00283,Active
0000285,36,Corporate Services,000002,000283,Member00284,Active
0000286,35,Landlord,000002,000284,Member00285,Active
0000287,30,Investments,000001,000285,Member00286,Active
0000288,36,Corporate Services,000002,000286,Member00287,Active
0000289,33,Brokerage Management,000001,000287,Member00288,Active
0000290,37,Consulting,000001,000288,Member00289,Active
0000291,32,Distribution & Logistics,000002,000289,Member00290,Active
0000292,37,Consulting,000002,000290,Member00291,Active
0000293,30,Investments,000002,000291,Member00292,Active
0000294,34,Sale/Leasing,000002,000292,Member00293,Active
0000295,34,Sale/Leasing,000001,000293,Member00294,Active
0000296,37,Consulting,000002,000294,Member00295,Active
0000297,31,Tenant Representation,000001,000295,Member00296,Active
0000298,30,Investments,000002,000296,Member00297,Active
0000299,33,Brokerage Management,000002,000297,Member00298,Active
0000300,32,Distribution & Logistics,000001,000298,Member00299,Active
