ID,Type,Name,,Start Date,End Date,Time Zone,Is Closed?,Visible In Portal?,Featured?,Description,Location,Capacity,Created Date
000034,Optional Event,Member Coalition Council,,2018-04-12 08:00:00,2018-04-12 10:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000035,Chapter Governance,Fall Luncheon,,2015-09-25 12:00:00,2015-09-25 13:30:00,,No,No,No,,Samantha's,0,2026-02-11 20:11:10.630000
000036,Networking,NAI Global Reception,,2017-04-28 18:00:00,2017-04-28 19:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000037,Optional Event,2022 Quarter Three Broker Bootcamp,,2022-09-14 00:00:00,2022-09-14 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000038,Education Session,"Saturday General Session: Big, Smart, & Green - How Cities Shape Our Future",,2019-04-13 10:15:00,2019-04-13 11:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000039,Chapter Governance,Breakfast Meeting,,2016-04-20 07:30:00,2016-04-20 09:00:00,,No,No,No,,Mission Hills Country Club,0,2026-02-11 20:11:10.630000
000040,Chapter Governance,Breakfast Meeting,,2015-10-21 07:30:00,2015-10-21 09:00:00,,No,No,No,,Mission Hills Country Club,0,2026-02-11 20:11:10.630000
000041,Optional Event,MW2003 - Not Attending,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000042,Chapter Networking,Development Day,,2019-09-26 16:30:00,2019-09-26 19:30:00,,No,No,No,,Union Market,0,2026-02-11 20:11:10.630000
000043,Conference,FPC2002 - Software,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000044,Optional Event,IBG Member Group,,2017-10-26 09:10:00,2017-10-26 10:10:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000045,Education Session,Group Mackenzie Seminar,,2015-04-08 07:30:00,2015-04-08 09:00:00,,No,No,No,,Mackenzie Offices,0,2026-02-11 20:11:10.630000
000046,Chapter Marketing,Recruitment Lunch,,2015-09-14 11:30:00,2015-09-14 13:30:00,,No,No,No,,Cherokee Club,0,2026-02-11 20:11:10.630000
000047,Chapter Governance,Nominating Committee,,2016-08-18 11:30:00,2016-08-18 13:00:00,,No,No,No,,Atlanta REALTORs Center,0,2026-02-11 20:11:10.630000
000048,Optional Event,Reg International - Mineapolis,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000049,Chapter Networking,ACRP SIOR CREW Lunch,,2019-10-24 11:30:00,2019-10-24 13:30:00,,No,No,No,,Junior League of Houston,0,2026-02-11 20:11:10.630000
000050,Conference,2019 Winter Broker Bootcamp,,2019-11-11 00:00:00,2019-11-13 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000051,Chapter Networking,Annual Mt. Shadows Golf Tournament,,2021-01-22 12:00:00,2021-01-22 17:00:00,,No,No,No,,Mountain Shadows Golf Club,0,2026-02-11 20:11:10.630000
000052,Optional Event,SC2002 - Optional Night:  Calypso Party,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000053,Chapter Marketing,Presentation by the Portland Dev. Corp.,,2016-06-22 16:00:00,2016-06-22 19:00:00,,No,No,No,,Ruth's Chris,0,2026-02-11 20:11:10.630000
000054,Chapter Networking,St. Louis Metro Market Forecast,,2018-02-20 07:15:00,2018-02-20 09:00:00,,No,No,No,,Ritz Carlton St. Louis,0,2026-02-11 20:11:10.630000
000055,Optional Event,Speaker & Dinner Meeting,,2018-05-10 17:30:00,2018-05-10 20:30:00,,No,No,No,,Cucina Enoteca,0,2026-02-11 20:11:10.630000
000056,Optional Event,"Micro & Metro: Latest Trends for Investment, Development, and Occupanc",,2017-10-27 13:00:00,2017-10-27 14:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000057,Education Session,"Opening General Session: If Demography Is Destiny, What Is the Future of Real Estate?",,2019-04-11 10:15:00,2019-04-11 11:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000058,Chapter Networking,Holiday Party,,2015-12-11 12:00:00,2015-12-11 14:00:00,,No,No,No,,MB Post,0,2026-02-11 20:11:10.630000
000059,Chapter Marketing,OPUS Program,,2018-09-18 15:00:00,2018-09-18 17:00:00,,No,No,No,,365 Nicollet Mall,0,2026-02-11 20:11:10.630000
000060,Chapter Networking,Breakfast Meeting,,2021-02-11 10:00:00,2021-02-11 11:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000061,Chapter Networking,Scannell Program,,2021-08-29 15:00:00,2021-08-29 17:00:00,,No,No,No,,Scannell Office,0,2026-02-11 20:11:10.630000
000062,Chapter Marketing,Chapter Luncheon,,2017-02-21 11:30:00,2017-02-21 13:00:00,,No,No,No,,Houston Country Club,0,2026-02-11 20:11:10.630000
000063,Committee/Member Group Meeting,Warsaw (International Planning Meeting),,2017-04-26 17:00:00,2017-04-26 18:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000064,Optional Event,Past Presidents' Award Luncheon,,2016-10-21 12:15:00,2016-10-21 13:30:00,,No,No,No,,"Riverside Suite, 3rd Floor / Sheraton New York Times Square Hotel",0,2026-02-11 20:11:10.630000
000065,Chapter Leadership Council,Chapter Leadership Council (CLC) Meeting,,2025-05-06 14:00:00,2025-05-06 16:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000066,Networking,Legacy & Anniversary Breakfast,,2020-05-01 08:00:00,2020-05-01 09:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000067,Chapter Networking,Miller Canfield Law Event,,2021-05-26 11:30:00,2021-05-26 13:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000068,Chapter Networking,Chapter Lunch Meeting,,2020-09-17 00:00:00,2020-09-17 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000069,Chapter Networking,Montrose Group Panel Discussion,,2021-02-23 12:00:00,2021-02-23 13:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000070,Chapter Networking,Chapter Meeting,,2019-02-05 00:00:00,2019-02-05 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000071,Optional Event,Bull 'n' Beer Reception,,2018-04-13 11:15:00,2018-04-13 12:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000072,Chapter Networking,Central Florida Virtual Meeting,,2020-05-28 16:00:00,2020-05-28 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000073,Education Session,Technology and CRE,,2017-03-22 14:00:00,2017-03-22 19:00:00,,No,No,No,,Quinnipiack Club,0,2026-02-11 20:11:10.630000
000074,Chapter Networking,Ski Weekend,,2017-02-02 00:00:00,2017-02-04 00:00:00,,No,No,No,,Snowbird Resort,0,2026-02-11 20:11:10.630000
000075,Chapter Networking,Spring Meeting with CCIM,,2017-03-30 11:30:00,2017-03-30 15:00:00,,No,No,No,,Oaklawn,0,2026-02-11 20:11:10.630000
000076,Chapter Networking,Holiday Party,,2018-12-07 11:30:00,2018-12-07 14:30:00,,No,No,No,,Glen View Club,0,2026-02-11 20:11:10.630000
000077,Conference,2011 Spring World Conference,,2011-05-05 09:00:00,2011-05-07 10:00:00,,No,No,No,,The Westin Kierland Resort & Spa,0,2026-02-11 20:11:10.630000
000078,Committee/Member Group Meeting,Investment Member Group,,2019-04-10 15:15:00,2019-04-10 16:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000079,Networking,Brokerage Firm & Network Receptions,,2026-04-16 18:00:00,2026-04-16 19:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000080,Chapter Governance,2nd Tuesday Meeting,,2015-06-09 11:30:00,2015-06-09 13:00:00,,No,No,No,,President's Office,0,2026-02-11 20:11:10.630000
000081,Chapter Networking,Chapter Meeting,,2019-04-02 00:00:00,2019-04-02 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000082,Networking,Using LinkedIn & Social Media Marketing to Maximize Your Business,,2019-04-10 13:00:00,2019-04-10 16:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000083,Conference,2018 Fall World Conference,,2018-10-11 08:00:00,2018-10-13 13:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000084,Chapter Governance,Chapter Business Meeting,,2018-11-14 07:30:00,2018-11-14 09:00:00,,No,No,No,,Indian Hills Country Club,0,2026-02-11 20:11:10.630000
000085,Board of Directors,SIOR Board of Directors Meeting,,2025-05-06 08:00:00,2025-05-06 10:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000086,Chapter Marketing,Chapter Lunch,,2018-03-21 11:45:00,2018-03-21 13:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000087,Optional Event,TAM203 - Conversion,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000088,Conference,2007 Fall Professional Conference - Saturday Lunch,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000089,Optional Event,MW2002 - Head Officers,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000090,Chapter Networking,"An Evening with Enron's Former CFO, Andrew Fastow",,2019-05-01 17:30:00,2019-05-01 20:30:00,,No,No,No,,Twenty Eight Restaurant and Bar,0,2026-02-11 20:11:10.630000
000091,Chapter Marketing,Recruitment Lunch,,2018-09-17 11:45:00,2018-09-17 14:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000092,Committee/Member Group Meeting,Past Presidents Committee,,2022-10-20 14:45:00,2022-10-20 15:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000093,Networking,Bank of America Leadership Reception,,2018-10-10 17:30:00,2018-10-10 19:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000094,Networking,Lakeside Dinner Party,,2024-07-18 19:30:00,2024-07-18 22:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000095,Exhibits,Lunch Overflow,,2019-04-11 11:45:00,2019-04-11 13:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000096,Chapter Networking,Monthly Luncheon,,2017-10-11 11:30:00,2017-10-11 13:00:00,,No,No,No,,Maggiano's at Fashion Show Mall,0,2026-02-11 20:11:10.630000
000097,Chapter Governance,Chapter Meeting,,2017-02-15 07:30:00,2017-02-15 08:45:00,,No,No,No,,Indian Hills Country Club,0,2026-02-11 20:11:10.630000
000098,Chapter Networking,Avalanche Hockey Night,,2016-01-25 00:00:00,2016-01-25 00:00:00,,No,No,No,,Colorado Avalanche,0,2026-02-11 20:11:10.630000
000099,Chapter Marketing,Chapter Meeting,,2016-04-05 17:30:00,2016-04-05 19:30:00,,No,No,No,,Chickasaw Country Club,0,2026-02-11 20:11:10.630000
000100,Exhibits,Networking Lunch with Exhibitors,,2024-10-16 12:15:00,2024-10-16 13:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000101,Committee/Member Group Meeting,Regional Directors Meeting,,2026-04-15 12:15:00,2026-04-15 13:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000102,Networking,Irish Coffee/Cocktail Masterclass with the SIOR European Chapter,,2021-04-28 16:00:00,2021-04-28 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000103,Networking,SIOR Global President's Reception,,2026-04-16 17:30:00,2026-04-16 19:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000104,Chapter Networking,AGM,,2020-01-31 11:00:00,2020-01-31 14:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000105,Networking,Drinks with the European Chapter,,2023-04-26 17:00:00,2023-04-26 18:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000106,Conference,2022 Quarter One Broker Bootcamp,,2022-02-16 00:00:00,2022-02-18 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000107,Optional Event,SC2002 - Wreck Diving,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000108,Chapter Networking,Monthly Luncheon,,2019-03-07 11:30:00,2019-03-07 13:00:00,,No,No,No,,San Antonio Country Club,0,2026-02-11 20:11:10.630000
000109,Chapter Networking,Masters Event,,2017-04-06 00:00:00,2017-04-06 00:00:00,,No,No,No,,Castle Pines,0,2026-02-11 20:11:10.630000
000110,Chapter Networking,Monthly Lunch,,2019-03-13 00:00:00,2019-03-13 00:00:00,,No,No,No,,Maggiano's @ Fashion Mall,0,2026-02-11 20:11:10.630000
000111,Chapter Networking,Luncheon,,2019-01-08 00:00:00,2019-01-08 00:00:00,,No,No,No,,Houston Country Club,0,2026-02-11 20:11:10.630000
000112,Optional Event,SC 2003 - Art Center & Lunch,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000113,Chapter Networking,SIOR Service Day Event - Wish for Wheels,,2019-06-27 00:00:00,2019-06-27 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000114,Chapter Networking,Chapter Event,,2019-04-17 07:00:00,2019-04-17 08:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000115,Optional Event,Old Town Alexandria Tour,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000116,Networking,SIOR Global President's Reception,,2024-05-08 17:30:00,2024-05-08 19:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000117,Networking,Women's Leadership & Mentorship Networking Event,,2021-04-29 17:00:00,2021-04-29 18:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000118,Chapter Networking,Mid-Atlantic Regional Networking Conference,,2017-03-23 18:00:00,2017-03-24 14:00:00,,No,No,No,,Various,0,2026-02-11 20:11:10.630000
000119,Optional Event,Buffet Breakfast,,2017-10-28 08:00:00,2017-10-28 09:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000120,Conference,2008 FWC,,2008-10-28 00:00:00,2008-10-31 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000121,Optional Event,2004 Leadership Conference,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000122,Optional Event,LA Port Tour,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000123,Chapter Marketing,Market Forecast,,2017-09-27 00:00:00,2017-09-27 00:00:00,,No,No,No,,Charleston Marriott,0,2026-02-11 20:11:10.630000
000124,Chapter Marketing,Dunn Carney sponsored meeting,,2015-06-10 07:30:00,2015-06-10 09:00:00,,No,No,No,,Lloyd Center,0,2026-02-11 20:11:10.630000
000125,Chapter Marketing,Holiday Party & Broker of the Year Award,,2018-12-05 00:00:00,2018-12-05 00:00:00,,No,No,No,,Caffe Molise,0,2026-02-11 20:11:10.630000
000126,Committee/Member Group Meeting,Diversity Member Group,,2017-04-26 16:00:00,2017-04-26 17:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000127,Networking,Buffet Breakfast,,2018-10-13 08:00:00,2018-10-13 09:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000128,Optional Event,Nominating Committee - Regional Directors,,2018-04-11 09:00:00,2018-04-11 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000129,Optional Event,Communications & Branding Committee,,2018-04-11 11:30:00,2018-04-11 13:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000130,Education Session,Member Associate/YP Program: Port Tour,,2024-10-15 15:00:00,2024-10-15 18:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000131,Optional Event,Leadership Conference: CLC Breakout - Chapter Management Best Practices,,2016-10-19 13:35:00,2016-10-19 14:35:00,,No,No,No,,"Liberty 1 & 2, 3rd Floor / Sheraton New York Times Square Hotel",0,2026-02-11 20:11:10.630000
000132,Conference,FPC2000 - All Day Coffee Break,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000133,Committee/Member Group Meeting,Professional Standards Committee,,2025-05-06 16:00:00,2025-05-06 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000134,Networking,Networking Roundtables,,2021-04-28 15:00:00,2021-04-28 16:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000135,Education Session,Build-to-Suits: A Blending of Art & Science,,2021-04-28 13:45:00,2021-04-28 14:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000136,Conference,2003 FPC,,2003-10-24 00:00:00,2003-10-27 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000137,Chapter Networking,Joint CCIM Lunch,,2019-11-20 11:30:00,2019-11-20 13:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000138,Chapter Governance,Chapter Meeting,,2017-05-17 07:30:00,2017-05-17 08:45:00,,No,No,No,,Indian Hills Country Club,0,2026-02-11 20:11:10.630000
000139,Chapter Networking,After Hours with CCIM,,2016-07-28 17:00:00,2016-07-28 19:30:00,,No,No,No,,Bass Berry Sims: The Pinnacle at Symphony Place,0,2026-02-11 20:11:10.630000
000140,Chapter Networking,Golf Event,,2017-06-12 10:30:00,2017-06-12 19:00:00,,No,No,No,,Legend at Merrill Hills,0,2026-02-11 20:11:10.630000
000141,Optional Event,Hillwood Tour and Tea,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000142,Chapter Governance,Chapter Meeting,,2018-10-01 17:00:00,2018-10-01 20:00:00,,No,No,No,,Nick's Bar & Grill,0,2026-02-11 20:11:10.630000
000143,Optional Event,Dine-Around: DC Coast,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000144,Chapter Governance,3rd Tuesday Meeting,,2017-02-21 11:30:00,2017-02-21 13:00:00,,No,No,No,,President's Office,0,2026-02-11 20:11:10.630000
000145,Exhibits,Bull 'n' Beer Reception & Exhibitor Raffle,,2024-05-08 11:00:00,2024-05-08 12:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000146,Networking,Prospect Reception,,2019-04-11 17:00:00,2019-04-11 18:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000147,Chapter Marketing,Platinum Showcase,,2017-01-25 16:00:00,2017-01-25 18:00:00,,No,No,No,,The Henry,0,2026-02-11 20:11:10.630000
000148,Optional Event,Bobby Van's Dine-Around,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000149,Chapter Networking,Financing Environment Post-Election and Post-Covid,,2021-02-24 15:30:00,2021-02-24 16:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000150,Conference,"2007 Fall Professional Conference - St. Louis, MO",,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000151,Conference,FPC2001 - Applicant,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000152,Committee/Member Group Meeting,Professional Standards Committee,,2020-04-29 15:30:00,2020-04-29 16:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000153,Networking,President's Reception,,2019-10-18 17:15:00,2019-10-18 18:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000154,Conference,2007 Fall Professional Conference Dine Around - Ca,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000155,Chapter Marketing,Holiday Party & Annual Awards,,2016-12-01 18:00:00,2016-12-01 20:00:00,,No,No,No,,Cili,0,2026-02-11 20:11:10.630000
000156,Conference,FPC2000 - Back Panel  Ad - On-Site,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000157,Committee/Member Group Meeting,Industrial Member Group Steering Committee,,2017-04-26 16:00:00,2017-04-26 17:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000158,Networking,SIOR Foundation High Donor Reception,,2021-10-15 19:00:00,2021-10-15 20:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000159,Chapter Networking,Member & Sponsor Lunch,,2019-11-06 11:30:00,2019-11-06 13:30:00,,No,No,No,,E-Center at the Esplanade,0,2026-02-11 20:11:10.630000
000160,Optional Event,2021 Quarter Two Broker Bootcamp,,2021-06-07 00:00:00,2021-06-10 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000161,Optional Event,Additional Opening Cocktail Party Ticket,,2009-10-29 18:30:00,2009-10-29 20:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000162,Chapter Networking,Monthly Lunch,,2019-06-05 00:00:00,2019-06-05 00:00:00,,No,No,No,,Maggiano's @ Fashion Mall,0,2026-02-11 20:11:10.630000
000163,Chapter Networking,Chapter Zoom,,2020-09-01 00:00:00,2020-09-01 00:00:00,,No,No,No,,Zoom,0,2026-02-11 20:11:10.630000
000164,Chapter Networking,Tahoe Dinner,,2019-08-08 18:00:00,2019-08-08 21:00:00,,No,No,No,,Hyatt Lake Tahoe,0,2026-02-11 20:11:10.630000
000165,Education Session,"Lunch & Learn Session: Market Trends, The New Normal and Diversity in CRE",,2020-10-21 12:30:00,2020-10-21 13:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000166,Optional Event,Prologis Private Reception,,2016-10-21 12:15:00,2016-10-21 13:30:00,,No,No,No,,Riverside Ballroom / Sheraton New York Times Square Hotel,0,2026-02-11 20:11:10.630000
000167,Chapter Networking,45th Annual Golf Tournament,,2015-07-13 10:00:00,2015-07-13 18:00:00,,No,No,No,,Palos Verdes Golf Club,0,2026-02-11 20:11:10.630000
000168,Chapter Marketing,Eastern PA Office Property Summit,,2015-05-12 08:30:00,2015-05-12 17:30:00,,No,No,No,,Chubb Hotel & Conference Center,0,2026-02-11 20:11:10.630000
